indice|nombre|link
51|Grapa_Galvanizada_1|https://www.prodalam.cl/productos/GR0312-CJ/grapa-galvanizada-tipo-u-inchalam-1-25mm-alto-de-calibre-bwg-12-277mm-en-caja-de-25kg
52|Escobillon_Municipal|https://www.hygiene.cl/producto/escobillon-municipal/
53|Escofina_Redonda_Total|https://toolmania.cl/limas-y-escofinas/escofina-redonda-10-ergo-corte-basto-medio-con-mango-bahco-6-345-10-1-2-13968.html
54|Escuadra_Combinada|https://www.isesa.cl/escuadra-combinada-300-mm-12-c-435-me-300-starrett/p
55|Escuadra_Magnetica_50_Lb_Crowman|https://articulo.mercadolibre.cl/MLC-595503562-escuadra-magnetica-50-libras-crownman--_JM
56|Escuadra_Magnetica_Crownman|https://articulo.mercadolibre.cl/MLC-595503562-escuadra-magnetica-50-libras-crownman--_JM
57|Escuadra_Plana_#2_Ferromat|x
58|Escuadra_Plana_#3_Ferromat|x
59|Escuadra_Silla_3_1_2_Ferromat|http://www.ferreteriaferroconstru.cl/1163/producto/quincalleria-ferromat-display-4-escuadra-silla-3
60|Escuadra_Soporte_Tipo_S_11x14cm|https://listado.mercadolibre.cl/soporte-escuadras
61|Escuadra_Soporte_Tipo_S_14x19cm|https://articulo.mercadolibre.cl/MLC-926343990-set-2-soporte-escuadra-decorativo-tipo-s-14x19cmzimas-full-_JM
62|Escuadra_Soporte_Tipo_S_19x24cm|https://listado.mercadolibre.cl/soporte-escuadras
63|Escuadra_de_10x12|https://www.ferreteriavenegas.cl/product/escuadra-repisa-10x12-par
64|Escuadra_magnetica_25_Lbrs|https://articulo.mercadolibre.cl/MLC-459032464-escuadras-magneticas-25-lb-para-soldar-escuadra-de-alumini-_JM
65|Escuadra_medir_30cm|https://articulo.mercadolibre.cl/MLC-916851868-escuadra-de-medir-combinada-con-nivel-12pulg-30cm-_JM
66|Escuadra_repisa_10x12|https://www.toso.cl/escuadra-repisa-10x12-25x30cm.html
67|Abrazadera_De_Presion_1|https://articulo.mercadolibre.cl/MLC-642647954-abrazadera-alta-presion-para-manguera-1-12-44-47mm-5-unid-_JM
68|Aldaba_#1_1_2|x
69|Aldaba_#2|x
70|Aldaba_#2_1_2|x
71|Esmalte_Sintetico_1L_Amanecer_Ocre|https://pinturasamanecer.cl/index.php/producto/esmalte-sintetico/
72|Esmalte_Sintetico_1_32_Amanecer_Negro|https://articulo.mercadolibre.cl/MLC-918928495-esmalte-terminacion-triple-accion-color-negro-ferrepernos-_JM
73|Esmalte_Sintetico_1_8_Amanecer_Negro|https://www.pinturasamanecer.cl/index.php/producto/esmalte-alta-temperatura-base-agua/
74|Esmalte_Sintetico_1_32_Amanecer_Blanco|https://cornershopapp.com/es-cl/products/2uvty-amanecer-esmalte-sintetico-aluminio-132
75|Aldaba_#4|x
76|Esmalte_Sintetico_1_8_Amanecer_Blanco|https://pinturasamanecer.cl/index.php/producto/esmalte-sintetico/
77|Esmalte_Terminacion_triple_accion|https://acymet.cl/producto/esmalte-terminacion-triple-accion/
78|Esparrago_1_2|https://www.construplaza.cl/ferreteria/fijaciones/pernos/perno-esparrago-de-1-2-x-1-metro.html
79|Esparrago_1_4|https://articulo.mercadolibre.cl/MLC-445431155-hilos-esparragos-x-metro-mamut-14-unc-01-und-ferrepernos-_JM
80|Esparrago_5_16|https://articulo.mercadolibre.cl/MLC-445431135-hilos-esparragos-x-metro-mamut-516-unc-01-u-ferrepernos-_JM
81|Abrazadera_De_Presion_2_Plateada|https://www.tolivmarket.com/browse/chile/lo-barnechea/ferreteria/rukafe-ferreteria-nunoa-1226/Hogar-y-Oficina-abrazadera-de-alta-presion-2.12%22-%2868-73mm%29-hoffens-75469
82|Spray_Alta_Temperatura_Silver_Lifetek|https://www.mundotek.cl/pintura-spray-alta-temperatura-plata-400ml-motorlife
83|Esquinero_Aluminio_Tipo_L_10mmx2.3mtrs|https://www.easy.cl/perfil-esquinero-10-mm-x-2-3-m-tipo-l-aluminio-f3c-1179341/p
84|Esquinero_Ceramica_De_Aluminio|https://dvp.cl/producto/construccion-cyberday/complementos-ceramica-cyberday/esquinero-para-ceramica-terminal-aluminio-8mm/
85|Esquinero_Para_Ceramica_Curvo_10mX2.5m|https://dvp.cl/producto/terminaciones/accesorios-para-ceramica/esquinero-proteccion-ceramica/esquinero-ceramico-pro-curvo-10mmx25m-blanco-25un/
86|Esquinero_volcanita_30x30x2_2.4mts|https://www.imperial.cl/perfiles-galvanizados/esquinero-volcanita-30x30x24mt/product/81536
87|Estuco_Exterior_25kg|https://sodimac.falabella.com/sodimac-cl/product/110288265/Topex-estuco-exterior-25-kg/110288287
88|Extractor_Aire_#4|x
89|Extractor_Aire_#8|x
90|Famastic_De_2_M|https://www.marvel.com/comics/issue/2361/fantastic_four_house_of_m_2005_2
91|Alicate_De_Corte_Makawa|https://www.easy.cl/alicate-de-corte-6-mk-0103-makawa-1287233/p
92|Flache|https://www.youtube.com/watch?v=1KL60DzsdoA
93|Manguera_Lavadora_Carga_De_Agua_2m|https://articulo.mercadolibre.cl/MLC-551983599-manguera-entrada-agua-2-metros-_JM
94|Abrazadera_De_Presion_1_2|https://www.diplas.cl/products/abrazadera_presion
95|Lijadora_Orbital_200w_Dongcheng|https://www.marketches.cl/lijadora-orbital-200w-dongcheng-dsb104
96|Alicate_De_Punta_Makawa|https://www.easy.cl/alicate-de-punta-6-mk-0104-makawa-1287232/p
97|Flexible_Gas_Hi-Hi_3_8x1_2_60cm_Comisa|https://cornershopapp.com/es-cl/products/5de2-comisa-flexible-metalico-para-gas-hi-hi-38-hilo-izquierdo-x-12
98|Foco_Embutido_Cuadrado_18W|https://www.importadoramarialuisa.cl/product/foco-led-embutido-cuadrado-18w/
99|Foco_Sobrepuesto_Cuadrado_18W|http://www.globalled.cl/producto/37/panel-led-sobrepuesto-cuadrado-18w
100|Foco_Sobrepuesto_Cuadrado_12W|https://www.falabella.com/falabella-cl/product/114406736/Foco-Sobrepuesto-Cuadrado-12w-Led-Luz-Blanca-Fria-6500k/114406737
101|Foco_Embutido_Cuadrado_12W|https://www.megabright.cl/foco-led-cuadrado-embutido-12w-4000k.html
102|Foco_Phelix_Blanco_Led|https://www.ilomercado.com/p/phelix--foco-led-phelix--hogar-bombas-de-luz--ebtk
103|Foco_Embutido_Redondo_12W|https://eecol.cl/iluminacion/4850-foco-led-redondo-embutido-12w-5000k.html
104|Foco_Sobrepuesto_Redondo_12W|https://www.todoelectroofertas.cl/product/foco-led-12-w-sobrepuesto/
105|Foco_Sobrepuesto_Redondo_18W|https://articulo.mercadolibre.cl/MLC-458221669-foco-panel-plafon-led-sobrepuesto-redondo-18w-_JM
106|Forro_Para_Camara_De_Carretilla|https://comercialpinocho.cl/camaras-y-neumaticos/1993-83407.html
107|Frague_Helecho_Weber|https://www.construcenterltda.cl/product/frague-weber-helecho-bolsa-1-kg
108|Frague_Madera_1_Kg|https://www.easy.cl/fraguee-fluido-1-kg-madera-cadina-1268355/p
109|Frague_Webwer_Helecho_1kg|https://ferreteriasur.cl/solcrom-weber-frague-helecho-1kg.html
110|Interruptor_Toscana_Triple_Blanco|https://www.pefsa.com.mx/apagador-toscana-triple-con-placa.html
111|Gancho_Canal_Metal|https://acymet.cl/producto/gancho-canal-galvanizado/
112|Gancho_Malla_Rachell|https://www.prodalam.cl/productos/WA000842/clips-abrazadera-para-malla-raschel
113|Golilla_Plana_1_X_Unidad|https://eltitempresas.cl/producto/golilla-plana-por-unidad/
114|Golilla_Plana_1_2_X_Unidad|https://www.construmart.cl/golilla-plana-zincada-1-2-100-un/p
115|Golilla_Plana_1_4_X_Unidad|https://sodimac.falabella.com/sodimac-cl/product/110276178/Golilla-Plana-Corriente-1-4-100-unidades/110276180
116|Spray_Alta_TEMP_Chev_Naranja|https://www.falabella.com/falabella-cl/product/113669350/PINTURA-SPRAY-ALTA-TEMPERATURA-CHEVROLET-NARANJA-311-GR-LANCO/113669352
117|Barniz_En_Spray_Roble_Oscuro|https://home-solution.cl/producto/harris-pintura-spray-barniz-roble-oscuro/
118|Barniz_En_Spray_Caoba|https://www.chilemat.com/barniz-entintado-en-spray-lanco-311gr-388606/p
119|Barniz_En_Spray_Maple|https://floydan.com/tienda/pinturas-y-utensilios/barniz-en-spray-secado-rapido-maple/
120|Barniz_En_Spray_Roble_Claro|https://www.chilemat.com/barniz-entintado-en-spray-lanco-311gr-/p
121|Barniz_En_Spray_Cafe|https://www.chilemat.com/barniz-entintado-en-spray-lanco-311gr-cafe-388607/p
122|Barniz_En_Spray_Roble_Mediano|https://www.clubferretero.cl/product/pintura-spray-barniz-harris-roble-mediano-311-grs
123|Golilla_Plana_3_4_X_Unidad|https://www.ferresur.cl/golilla-plana-34-f-436-unidad
124|Golilla_Plana_3_8_X_Unidad|https://sodimac.falabella.com/sodimac-cl/product/110295660/Golilla-Plana-Corriente-3-8-100-unidades/110295665
125|Golilla_Plana_5_16_X_Unidad|https://www.cimech3d.cl/producto/golilla-plana-5-16%E2%80%B3-para-pernos-m8pack-10-unidades/
126|Golilla_Plana_5_8_X_Unidad|https://sodimac.falabella.com/sodimac-cl/product/110323463/Golilla-Plana-Corriente-5-8-NR-1-unidad/110323471
127|Golilla_Plana_7_16_X_Unidad|https://cornershopapp.com/es-cl/products/5fkl-fixser-golilla-plana-corriente-716-nr-2-unidades
128|Tubo_Sanitario_Blanco_40mm|https://www.imperial.cl/tubos-sanitarios/tubo-pvc-sanitario-blanco-40mm-6mt/product/33747
129|Tubo_Sanitario_Blanco_50mm|https://sodimac.falabella.com/sodimac-cl/product/110325161/Tubo-PVC-sanitario-blanco-con-goma-50-mm-6m/110325171
130|Golilla_Plana_7_8_X_Unidad|https://ferreteriasolmetalfa.cl/index.php/producto/golilla-plana-corriente-7-8-100-unidades/
131|Tubo_Sanitario_Blanco_75mm|https://sodimac.falabella.com/sodimac-cl/product/110292366/Tubo-PVC-sanitario-blanco-con-goma-75-mm-6m/110292396
